本层编号,上层编号,序号,显示序号,工程项目名称,编制依据,单位,数量,设备购置费,,建筑工程费,,,,,,,安装工程费,,,,,,,其他费用,合计,技术经济指标,,,备注
,,,,,,,,单价,合价, 设备单价,建筑费单价,其中：人工费,设备合价,建筑费合计金额,其中：人工费,建筑工程费合计,装置性材料费单价,安装费单价,其中：人工费,装置性材料费合价,安装费合价,其中：人工费,安装工程费合计,,,单位,数量,指标,
1,0,1,,龙口概算,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,2,,建筑工程,,,,,,,,,16855070,707614468,75426593,,,,,,,,,,,,,,
3,2,3,一,主辅生产工程,,,,,,,,,16835537,528460679,60413002,,,,,,,,,,,,,,
4,3,4,(一),热力系统,,,,,,,,,4540067,208497699,23761351,,,,,,,,,,,,,,
5,4,5,1,主厂房本体及设备基础,,,,,,,,,3755336,139115073,15735061,,,,,,,,,,,,,,
6,5,6,1.1,主厂房本体,,,,,,,,,3755336,101607488,11654330,,,,,,,,,,,,,,
7,6,7,1.1.1,基础结构,,,,,,,,,,14095702,2368537,,,,,,,,,,,,,,
8,7,8,,机械施工土方 主厂房土方, GT1-3,m3,83335,,,,32.44,15.93,,2703387,1327527,,,,,,,,,,,,,,
9,7,9,,主厂房柱基础,换 GT2-8,m3,6200,,,,490.64,84.89,,3041968,526318,,,,,,,,,,,,,,
10,7,10,,普通钢筋, GT7-23,t,605.993,,,,4990.26,511.76,,3024063,310123,,,,,,,,,,,,,,
11,7,11,,钢筋混凝土地梁,换 GT7-1,m3,125,,,,579.18,184.9,,72398,23113,,,,,,,,,,,,,,
12,7,12,,普通钢筋, GT7-23,t,23.046,,,,4990.26,511.76,,115006,11794,,,,,,,,,,,,,,
13,7,13,,条形基础 钢筋混凝土基础,换 GT2-5,m3,200,,,,491.85,101.21,,98370,20242,,,,,,,,,,,,,,
14,7,14,,普通钢筋, GT7-23,t,21.874,,,,4990.26,511.76,,109157,11194,,,,,,,,,,,,,,
15,7,15,,钢筋砼剪力墙,换 GT7-22,m3,342,,,,517.87,113.08,,177112,38673,,,,,,,,,,,,,,
16,7,16,,普通钢筋, GT7-23,t,50.5,,,,4990.26,511.76,,252008,25844,,,,,,,,,,,,,,
17,7,17,,钢筋混凝土系梁,换 GT2-8,m3,160,,,,490.64,84.89,,78502,13582,,,,,,,,,,,,,,
18,7,18,,普通钢筋, GT7-23,t,29.499,,,,4990.26,511.76,,147208,15096,,,,,,,,,,,,,,
19,7,19,,基础表面防腐 环氧沥青涂层500um,换 GT10-55,m2,4600,,,,26.3,4.43,,120980,20378,,,,,,,,,,,,,,
20,7,20,,基础梁及短柱表面防腐 环氧沥青涂层1mm,换 GT10-55,m2,5565,,,,32.89,4.43,,183033,24653,,,,,,,,,,,,,,
21,7,21,,C20混凝土垫层掺加抗硫酸盐外加剂,（费）,kg,4406.4,,,,3.6,,,15863,,,,,,,,,,,,,,,
22,6,22,1.1.2,框架结构,,,,,,,,,,27747150,2742353,,,,,,,,,,,,,,
23,22,23,,汽机房,,,,,,,,,,,,,,,,,,,,,,,,,
24,22,24,,现浇钢筋混凝土A、B列柱,换 GT7-3,m3,203.12,,,,815.57,251.68,,165659,51121,,,,,,,,,,,,,,
25,22,25,,普通钢筋, GT7-23,t,72.108,,,,4990.26,511.76,,359838,36902,,,,,,,,,,,,,,
26,22,26,,现浇钢筋混凝土A、B列柱(混凝土C40以上),换 GT7-3,m3,766.88,,,,876.56,251.68,,672216,193008,,,,,,,,,,,,,,
